['60.191.173.117:8000', '60.191.173.117', '\t金蝶云星空 管理中心', '8000', 'http']
['58.246.75.59:8000', '58.246.75.59', '金蝶云星空 管理中心', '8000', 'http']
['60.160.152.141:8000', '60.160.152.141', '\t金蝶云星空 管理中心', '8000', 'http']
['59.110.53.162:8000', '59.110.53.162', '金蝶云星空 管理中心', '8000', 'http']
['14.18.118.63:8000', '14.18.118.63', '金蝶云星空 管理中心', '8000', 'http']
['36.110.4.170:8000', '36.110.4.170', '金蝶云星空 管理中心', '8000', 'http']
['60.29.32.210:8000', '60.29.32.210', '金蝶云星空 管理中心', '8000', 'http']
['39.108.251.84:8000', '39.108.251.84', '金蝶云星空 管理中心', '8000', 'http']
['47.108.250.249:8000', '47.108.250.249', '金蝶云星空 管理中心', '8000', 'http']
['www.totron.sakura.ne.jp', '210.224.185.11', '真空管', '80', 'http']
['totron.sakura.ne.jp', '210.224.185.11', '真空管', '80', 'http']
['114.220.134.45:8000', '114.220.134.45', '金蝶云星空 管理中心', '8000', 'http']
['139.9.186.113:8000', '139.9.186.113', '金蝶云星空 管理中心', '8000', 'http']
['43.136.45.35:8000', '43.136.45.35', '金蝶云星空 管理中心', '8000', 'http']
['61.144.20.55:8090', '61.144.20.55', '\t金蝶云星空 管理中心', '8090', 'http']
['www.ahhdgy.cn', '107.180.0.193', '不锈钢波纹管|金属软管|真空管配件厂家-安徽恒达管业有限责任公司', '80', 'http']
['47.106.207.1:8000', '47.106.207.1', '金蝶云星空 管理中心', '8000', 'http']
['59.49.53.66:8000', '59.49.53.66', '\t金蝶云星空 管理中心', '8000', 'http']
['47.119.168.108:8000', '47.119.168.108', '金蝶云星空 管理中心', '8000', 'http']
['60.173.78.195:8000', '60.173.78.195', '金蝶云星空 管理中心', '8000', 'http']
['59.172.168.233:8000', '59.172.168.233', '金蝶云星空 管理中心', '8000', 'http']
['203.195.246.202:8000', '203.195.246.202', '\t金蝶云星空 管理中心', '8000', 'http']
['203.195.154.120:8000', '203.195.154.120', '\t金蝶云星空 管理中心', '8000', 'http']
['61.172.255.81:8000', '61.172.255.81', '金蝶云星空 管理中心', '8000', 'http']
['202.104.24.3:8000', '202.104.24.3', '\t金蝶云星空 管理中心', '8000', 'http']
